[BACKGROUND]
\background1.bmp,647
[MIDGROUND]
\midground1.bmp,1743,0,67
[ROAD]
\road.bmp,28
0,433
32,433
64,433
96,433
128,433
160,433
192,433
224,433
256,433
288,433
320,433
352,433
384,433
416,433
420,340
460,240
490,120
490,433
522,120
522,433
554,120
554,433
586,120
586,433
618,120
618,433
650,120
650,433
690,340
710,250
742,250
774,250
806,250
838,250
870,200
910,150
950,100
982,100
810,433
842,433
874,433
906,433
938,433
970,433
1100,433
1132,433
1164,420
1196,420
1228,420
1260,420
1280,380
1300,300
1320,220
1340,160
1360,110
1392,110
1424,110
1456,110
1488,110
1528,140
1560,170
1592,200
1624,230
1656,230
1760,230
1464,400
1496,400
1528,400
1560,400
1592,433
1624,433
1832,400
1864,400
1896,400
1928,400
[ROAD]
\road2.bmp,28
1960,400
1992,400
[BLOCK]
\block.bmp,27
522,250
554,250
586,250
618,250
1480,240
1448,240
[SEA]
F
[COIN]
\coin.bmp,23
252,67
284,67
316,67
490,50
522,50
554,50
586,50
618,50
650,50
950,40
982,40
769,333
801,333
833,333
865,333
897,333
1285,348
1305,268
1360,78
1392,78
1424,78
1456,78
1488,78
1760,20
[PLAYER]
\kenny.bmp,76,kenny
[BADDY]
\alien.bmp,77
200,-20
806,-20
1196,-20
1392,-20
[FINISH]
1960
